Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","756","Switzerland","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","760","Syrian Arab Republic","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","3.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","760","Syrian Arab Republic","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","4.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","762","Tajikistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","1","E","Estimated value",""
"FS","Suite of Food Security Indicators","762","Tajikistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","764","Thailand","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","4.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","764","Thailand","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","4.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","626","Timor-Leste","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","626","Timor-Leste","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","768","Togo","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","1.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","768","Togo","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","1.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","772","Tokelau","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","772","Tokelau","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","776","Tonga","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","776","Tonga","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","780","Trinidad and Tobago","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","780","Trinidad and Tobago","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","788","Tunisia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","788","Tunisia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","792","Türkiye","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","792","Türkiye","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","795","Turkmenistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","795","Turkmenistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","798","Tuvalu","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","798","Tuvalu","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","800","Uganda","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","14.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","800","Uganda","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","14","E","Estimated value",""
"FS","Suite of Food Security Indicators","804","Ukraine","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","1.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","804","Ukraine","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","1.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","784","United Arab Emirates","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","784","United Arab Emirates","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","826","United Kingdom of Great Britain and Northern Ireland","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","826","United Kingdom of Great Britain and Northern Ireland","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","834","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","12.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","834","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","13.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","840","United States of America","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","858","Uruguay","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","858","Uruguay","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","860","Uzbekistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","860","Uzbekistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","548","Vanuatu","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","548","Vanuatu","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","862","Venezuela (Bolivarian Republic of)","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","6.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","862","Venezuela (Bolivarian Republic of)","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","6.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","704","Viet Nam","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","5.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","704","Viet Nam","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","5.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","887","Yemen","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","12.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","887","Yemen","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","12.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","894","Zambia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","5.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","894","Zambia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","5.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","716","Zimbabwe","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","5.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","716","Zimbabwe","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","6","E","Estimated value",""
